Rank,Regulatory Class,Model Year,Manufacturer,Model Name,Vehicle Type,Weight (lbs),Drive Type,Transmission,Gears,Fuel Delivery,Horsepower (HP),Engine Displacement,Real-World MPG_City,Real-World MPG_Hwy,Real-World MPG
"Low","Car","1996","VW","AVTECH SC - M12","Sedan/Wagon","4000","Rear","Manual","5","Port","492","348","8.50000","12.20000","10.10000"
"Low","Car","1997","VW","DB132-144 - DIABLO","Sedan/Wagon","4000","4wd","Manual","5","Port","492","348","8.70000","13.60000","10.70000"
"Low","Car","1998","Ferrari","FERRARI 550 MARANELLO","Sedan/Wagon","4000","Rear","Manual","6","Port","475","334","8.60000","14.10000","10.80000"
"Low","Car","1999","Stellantis","FERRARI 550 MARANELLO","Sedan/Wagon","4000","Rear","Manual","6","Port","475","334","8.50000","13.40000","10.50000"
"Low","Car","2000","Stellantis","FERRARI 550 MARANELLO","Sedan/Wagon","4000","Rear","Manual","6","Port","475","334","7.90000","12.40000","9.90000"
"Low","Car","2001","Stellantis","FERRARI 550 MARANELLO-BARCHE","Sedan/Wagon","4000","Rear","Manual","6","Port","475","334","7.90000","12.40000","9.80000"
"Low","Car","2002","VW","L-147 MURCIELAGO","Sedan/Wagon","4000","4wd","Manual","6","Port","580","378","8.40000","12.00000","10.10000"
"Low","Car","2003","Stellantis","ENZO FERRARI","Sedan/Wagon","3500","Rear","Automatic with Lockup","6","Port","646","366","7.10000","11.60000","9.00000"
"Low","Car","2004","VW","L-147-148 MURCIELAGO","Sedan/Wagon","4000","4wd","Manual","6","Port","580","378","8.40000","12.50000","10.30000"
"Low","Car","2005","VW","L-147-148 MURCIELAGO","Sedan/Wagon","4000","4wd","Manual","6","Port","580","378","8.30000","12.50000","10.30000"
"Low","Car","2006","VW","VEYRON","Sedan/Wagon","4500","4wd","Automatic with Lockup","6","Port","1,001","488","7.80000","13.80000","10.30000"
"Low","Car","2007","VW","L-147-148 MURCIELAGO","Sedan/Wagon","4000","4wd","Manual","6","Port","631","396","8.30000","12.80000","10.40000"
"Low","Car","2008","VW","VEYRON","Sedan/Wagon","4500","4wd","Automatic with Lockup","6","Port","1,001","488","7.80000","13.00000","10.10000"
"Low","Car","2009","VW","MURCIELAGO ROADSTER","Sedan/Wagon","4000","4wd","Manual","6","Port","631","396","8.30000","12.80000","10.40000"
"Low","Car","2010","VW","Veyron","Sedan/Wagon","4500","4wd","Automatic","7","Port","1,001","488","7.80000","13.00000","10.10000"
"Low","Car","2011","Ferrari","Ferrari 612 SCAGLIETTI","Sedan/Wagon","4500","Rear","Automatic","6","Port","532","348","9.60000","16.00000","12.40000"
"Low","Car","2012","VW","Veyron","Sedan/Wagon","4500","4wd","Automatic","7","Port","1,200","488","8.40000","14.80000","11.20000"
"Low","Car","2013","VW","Veyron","Sedan/Wagon","4500","4wd","Automatic with Lockup","7","Port","1,200","488","8.40000","14.80000","11.20000"
"Low","Car","2014","VW","Veyron","Sedan/Wagon","4500","4wd","Automatic with Lockup","7","Port","1,200","488","8.40000","14.80000","11.20000"
"Low","Car","2015","VW","Aventador Roadster","Sedan/Wagon","4000","4wd","Automatic with Lockup","7","Port","700","397","9.80000","16.20000","12.70000"
"Low","Car","2016","Ferrari","F12 tdf","Sedan/Wagon","4000","Rear","Automatic","7","GDI","764","384","11.00000","14.80000","12.90000"
"Low","Car","2017","VW","Aventador Coupe LP740-4","Sedan/Wagon","4000","4wd","Automatic with Lockup","7","Port","740","397","9.80000","16.30000","12.70000"
"Low","Car","2018","VW","Chiron","Sedan/Wagon","4500","4wd","Automatic with Lockup","7","Port","1,479","488","8.80000","14.10000","11.20000"
"Low","Car","2019","VW","Chiron","Sedan/Wagon","4500","4wd","Automatic with Lockup","7","Port","1,479","488","8.80000","14.10000","11.20000"
"Low","Car","2020","VW","Divo","Sedan/Wagon","4500","4wd","Automatic with Lockup","7","Port","1,500","488","8.60000","12.90000","10.60000"
"Low","Car","2021","VW","Chiron Pur Sport","Sedan/Wagon","4500","4wd","Automatic with Lockup","7","Port","1,500","488","7.70000","11.00000","9.30000"
"Low","Car","Prelim. 2022","VW","Chiron Super Sport","Sedan/Wagon","4500","4wd","Automatic","7","GDI","1,600","488","7.80000","11.20000","9.40000"
"Low","Car","Prelim. 2022","VW","Chiron Pur Sport","Sedan/Wagon","4500","4wd","Automatic","7","GDI","1,500","488","7.80000","11.20000","9.40000"
"Low","Truck","1975","Ford","FORD F-250","Pickup","5000","Rear","Automatic","-","Carb","150","360","7.50000","7.80000","7.60000"
"Low","Truck","1976","GM","CHEV P20 STEP","Minivan/Van","6500","Rear","Automatic","-","Carb","245","454","7.30000","8.50000","7.80000"
"Low","Truck","1977","Toyota","LAND CRUISER WAG","Truck SUV","4500","Rear","Manual","-","Carb","125","258","7.40000","8.90000","8.00000"
"Low","Truck","1978","GM","CHEV C20 SUBN","Truck SUV","5500","Rear","Automatic","-","Carb","185","454","8.00000","8.10000","8.00000"
"Low","Truck","1978","GM","GMC C2500 SUBN","Truck SUV","5500","Rear","Automatic","-","Carb","185","454","8.00000","8.10000","8.00000"
"Low","Truck","1979","Ford","PICKUP","Pickup","5500","Rear","Automatic","3","Carb","270","460","8.10000","7.70000","7.90000"
"Low","Truck","1980","GM","CAB CHAS.","Pickup","6000","Rear","Automatic with Lockup","3","Carb","155","350","8.10000","8.80000","8.40000"
"Low","Truck","1981","Stellantis","B250 VAN CONVERS","Minivan/Van","5500","Rear","Automatic","3","Carb","170","360","9.00000","10.10000","9.40000"
"Low","Truck","1982","GM","G30 SPRTVN 2WD","Minivan/Van","5500","Rear","Automatic with Lockup","3","Carb","165","350","9.50000","10.80000","10.10000"
"Low","Truck","1982","GM","G30 SPRTVN 2WD","Minivan/Van","6000","Rear","Automatic with Lockup","3","Carb","165","350","9.50000","10.80000","10.10000"
"Low","Truck","1982","GM","G35 SPRTVN 2WD","Minivan/Van","5500","Rear","Automatic with Lockup","3","Carb","165","350","9.50000","10.80000","10.10000"
"Low","Truck","1982","GM","G35 SPRTVN 2WD","Minivan/Van","6000","Rear","Automatic with Lockup","3","Carb","165","350","9.50000","10.80000","10.10000"
"Low","Truck","1983","Ford","E250 ECONOLINE 2","Minivan/Van","5500","Rear","Automatic","3","Carb","143","351","9.80000","10.80000","10.30000"
"Low","Truck","1984","Stellantis","B350 WAGON 2WD","Minivan/Van","5500","Rear","Automatic","3","Carb","175","360","8.70000","10.70000","9.50000"
"Low","Truck","1985","Ford","E250 ECONOLINE 2","Minivan/Van","5500","Rear","Automatic","3","Carb","154","351","9.50000","9.60000","9.60000"
"Low","Truck","1986","Stellantis","B350 WAGON 2WD","Minivan/Van","5500","Rear","Automatic","3","Carb","170","360","9.80000","11.20000","10.40000"
"Low","Truck","1987","Stellantis","AW150 RAMCHARGER","Truck SUV","5000","4wd","Automatic","3","Carb","175","360","9.20000","11.20000","10.00000"
"Low","Truck","1988","Stellantis","W100/W150 PICKUP","Pickup","5000","4wd","Automatic","3","Carb","175","360","9.20000","10.60000","9.80000"
"Low","Truck","1988","Stellantis","W250 PICKUP 4WD","Pickup","5000","4wd","Automatic","3","Carb","175","360","9.20000","10.60000","9.80000"
"Low","Truck","1989","Stellantis","B350 WAGON 2WD","Minivan/Van","5500","Rear","Automatic","3","TBI","145","360","9.70000","10.90000","10.20000"
"Low","Truck","1990","GM","C1500 P/U 2WD","Pickup","4500","Rear","Automatic","3","TBI","230","454","9.30000","10.80000","10.00000"
"Low","Truck","1991","Stellantis","W250 PICKUP 4WD","Pickup","5500","4wd","Manual","3","TBI","190","360","9.10000","12.30000","10.40000"
"Low","Truck","1992","Stellantis","W250 PICKUP 4WD","Pickup","5000","4wd","Automatic","4","TBI","203","360","9.60000","11.40000","10.40000"
"Low","Truck","1992","Stellantis","W250 PICKUP 4WD","Pickup","5500","4wd","Automatic","4","TBI","203","360","9.60000","11.40000","10.40000"
"Low","Truck","1993","GM","C1500 P/U 2WD","Pickup","4500","Rear","Automatic with Lockup","4","TBI","255","454","9.30000","12.00000","10.50000"
"Low","Truck","1994","Stellantis","B150/B250 WAGON","Minivan/Van","5500","Rear","Automatic with Lockup","4","Port","230","360","11.00000","13.80000","12.20000"
"Low","Truck","1995","Stellantis","B3500 WAGON 2WD","Minivan/Van","5500","Rear","Automatic with Lockup","4","Port","230","360","10.70000","14.10000","12.20000"
"Low","Truck","1996","Stellantis","B3500 WAGON 2WD","Minivan/Van","5500","Rear","Automatic with Lockup","4","Port","230","360","10.70000","14.10000","12.20000"
"Low","Truck","1997","Stellantis","B3500 WAGON 2WD","Minivan/Van","5500","Rear","Automatic with Lockup","4","Port","230","360","10.30000","14.10000","12.00000"
"Low","Truck","1997","Stellantis","B3500 WAGON 2WD","Minivan/Van","6000","Rear","Automatic with Lockup","4","Port","230","360","10.30000","14.10000","12.00000"
"Low","Truck","1998","Stellantis","RAM 1500 PICKUP 4WD","Pickup","6000","4wd","Automatic with Lockup","4","Port","235","360","10.90000","15.50000","12.90000"
"Low","Truck","1999","Stellantis","DURANGO 4WD","Truck SUV","5000","4wd","Automatic with Lockup","4","Port","245","360","11.00000","15.50000","13.00000"
"Low","Truck","1999","Stellantis","RAM 1500 PICKUP 4WD","Pickup","5000","4wd","Automatic with Lockup","4","Port","245","360","11.00000","15.50000","13.00000"
"Low","Truck","2000","Jaguar Land Rover","RANGE ROVER","Truck SUV","5000","4wd","Automatic with Lockup","4","Port","222","278","11.10000","14.30000","12.60000"
"Low","Truck","2001","GM","K1500 SIERRA 4WD","Pickup","5500","4wd","Automatic with Lockup","4","Port","300","364","10.40000","13.30000","11.80000"
"Low","Truck","2002","Stellantis","RAM 1500 PICKUP 4WD","Pickup","5500","4wd","Automatic with Lockup","4","Port","245","360","10.50000","14.50000","12.40000"
"Low","Truck","2003","GM","G1500-2500 CHEVY VAN 2WD","Minivan/Van","6000","Rear","Automatic with Lockup","4","Port","300","364","8.90000","13.20000","10.90000"
"Low","Truck","2004","GM","G1500-2500 CHEVY VAN 2WD","Minivan/Van","6000","Rear","Automatic with Lockup","4","Port","300","412","8.50000","12.50000","10.40000"
"Low","Truck","2004","GM","G1500-2500 SAVANA 2WD CARGO","Minivan/Van","6000","Rear","Automatic with Lockup","4","Port","300","412","8.50000","12.50000","10.40000"
"Low","Truck","2005","Stellantis","RAM 1500 PICKUP 2WD","Pickup","6000","Rear","Automatic with Lockup","4","Port","500","505","8.20000","11.50000","9.80000"
"Low","Truck","2006","Stellantis","RAM 1500 PICKUP 2WD","Pickup","6000","Rear","Automatic with Lockup","4","Port","500","505","8.20000","11.50000","9.80000"
"Low","Truck","2007","Mercedes","G55 AMG","Truck SUV","6000","4wd","Automatic with Lockup","7","Port","493","333","10.80000","13.50000","12.20000"
"Low","Truck","2008","Mercedes","G55 AMG","Truck SUV","6000","4wd","Automatic with Lockup","5","Port","493","332","10.80000","13.50000","12.20000"
"Low","Truck","2009","Mercedes","ML63 AMG","Truck SUV","5500","4wd","Automatic with Lockup","7","Port","503","379","10.50000","14.40000","12.40000"
"Low","Truck","2010","Mercedes","G 55 AMG","Truck SUV","6000","4wd","Automatic with Lockup","5","Port","500","332","10.80000","13.60000","12.20000"
"Low","Truck","2011","Ford","E150 Van Propane","Minivan/Van","6000","Rear","Automatic with Lockup","4","Port","255","330","6.60000","6.70000","6.70000"
"Low","Truck","2011","Ford","E150 Wagon Propane","Minivan/Van","6000","Rear","Automatic with Lockup","4","Port","255","330","6.60000","6.70000","6.70000"
"Low","Truck","2011","Ford","E250 Van Propane","Minivan/Van","5500","Rear","Automatic with Lockup","4","Port","255","330","6.60000","6.70000","6.70000"
"Low","Truck","2011","Ford","E250 Van Propane","Minivan/Van","6000","Rear","Automatic with Lockup","4","Port","255","330","6.60000","6.70000","6.70000"
"Low","Truck","2011","Ford","E350 Van Propane","Minivan/Van","6500","Rear","Automatic with Lockup","4","Port","255","330","6.60000","6.70000","6.70000"
"Low","Truck","2011","Ford","E350 Wagon Propane","Minivan/Van","6500","Rear","Automatic with Lockup","4","Port","255","330","6.60000","6.70000","6.70000"
"Low","Truck","2012","Ford","E150 Van Propane","Minivan/Van","6000","Rear","Automatic with Lockup","4","Port","255","330","8.90000","9.30000","9.10000"
"Low","Truck","2012","Ford","E150 Wagon Propane","Minivan/Van","6000","Rear","Automatic with Lockup","4","Port","255","330","8.90000","9.30000","9.10000"
"Low","Truck","2012","Ford","E250 Van Propane","Minivan/Van","5500","Rear","Automatic with Lockup","4","Port","255","330","8.90000","9.30000","9.10000"
"Low","Truck","2012","Ford","E250 Van Propane","Minivan/Van","6000","Rear","Automatic with Lockup","4","Port","255","330","8.90000","9.30000","9.10000"
"Low","Truck","2012","Ford","E350 Van Propane","Minivan/Van","6500","Rear","Automatic with Lockup","4","Port","255","330","8.90000","9.30000","9.10000"
"Low","Truck","2012","Ford","E350 Wagon Propane","Minivan/Van","6500","Rear","Automatic with Lockup","4","Port","255","330","8.90000","9.30000","9.10000"
"Low","Truck","2013","Ford","E150 Wagon Propane","Minivan/Van","6500","Rear","Automatic with Lockup","4","Port","255","330","8.90000","9.30000","9.10000"
"Low","Truck","2013","Ford","E350 Wagon Propane","Minivan/Van","6500","Rear","Automatic with Lockup","4","Port","255","330","8.90000","9.30000","9.10000"
"Low","Truck","2014","Ford","E150 Wagon Propane","Minivan/Van","6500","Rear","Automatic with Lockup","4","Port","255","330","8.90000","9.30000","9.10000"
"Low","Truck","2014","Ford","E350 Wagon Propane","Minivan/Van","6500","Rear","Automatic with Lockup","4","Port","255","330","8.90000","9.30000","9.10000"
"Low","Truck","2015","GM","G3500 EXPRESS 2WD PASS MDPV","Minivan/Van","7000","Rear","Automatic with Lockup","6","Port","324","366","10.40000","15.10000","12.70000"
"Low","Truck","2015","GM","G3500 SAVANA 2WD PASS MDPV","Minivan/Van","7000","Rear","Automatic with Lockup","6","Port","324","366","10.40000","15.10000","12.70000"
"Low","Truck","2016","Mercedes","AMG G65","Truck SUV","6000","4wd","Automatic with Lockup","7","Port","621","365","10.60000","13.10000","11.90000"
"Low","Truck","2017","Mercedes","G 550 4x4","Truck SUV","7000","4wd","Automatic with Lockup","7","GDI","416","243","10.60000","10.90000","10.80000"
"Low","Truck","2018","Mercedes","G 550 4x4","Truck SUV","7000","4wd","Automatic with Lockup","7","GDI","416","243","10.60000","10.90000","10.80000"
"Low","Truck","2019","Mercedes","AMG GLE 63","Truck SUV","6000","4wd","Automatic with Lockup","7","GDI","550","333","9.80000","14.30000","12.00000"
"Low","Truck","2019","Mercedes","AMG GLE 63 S","Truck SUV","6000","4wd","Automatic with Lockup","7","GDI","550","333","9.80000","14.30000","12.00000"
"Low","Truck","2020","Ford","F150 Pickup 4WD","Pickup","6000","4wd","Automatic with Lockup","10","Port","650","305","10.60000","15.20000","12.80000"
"Low","Truck","2021","Stellantis","1500 TRX 4x4","Pickup","7000","4wd","Automatic with Lockup","8","Port","707","378","10.40000","14.10000","12.20000"
"Low","Truck","Prelim. 2022","Stellantis","1500 TRX 4x4","Pickup","7000","4wd","Automatic with Lockup","8","Port","707","378","10.50000","14.20000","12.30000"
"High","Car","1975","Honda","CIVIC CVCC","Sedan/Wagon","2000","Front","Manual","5","Carb","52","90","25.40000","33.00000","28.30000"
"High","Car","1976","Honda","CIVIC CVCC","Sedan/Wagon","2000","Front","Manual","3","Carb","60","91","28.40000","33.40000","30.50000"
"High","Car","1977","Honda","CIVIC CVCC","Sedan/Wagon","2000","Front","Manual","-","Carb","60","91","35.70000","40.20000","37.60000"
"High","Car","1978","VW","RABBIT","Sedan/Wagon","2250","Front","Manual","4","Diesel","48","90","35.20000","40.70000","37.50000"
"High","Car","1979","VW","RABBIT","Sedan/Wagon","2250","Front","Manual","5","Diesel","48","90","36.70000","42.60000","39.10000"
"High","Car","1980","VW","RABBIT","Sedan/Wagon","2250","Front","Manual","5","Diesel","48","90","37.70000","44.10000","40.30000"
"High","Car","1981","VW","RABBIT","Sedan/Wagon","2250","Front","Manual","4","Diesel","52","97","37.90000","45.40000","40.90000"
"High","Car","1982","VW","RABBIT","Sedan/Wagon","2250","Front","Manual","4","Diesel","52","97","40.90000","45.10000","42.70000"
"High","Car","1983","Nissan","NISSAN SENTRA","Sedan/Wagon","2250","Front","Manual","4","Diesel","55","103","43.40000","47.80000","45.30000"
"High","Car","1984","Honda","CIVIC COUPE","Sedan/Wagon","2000","Front","Manual","5","Carb","60","82","45.70000","51.20000","48.00000"
"High","Car","1985","GM","FIREFLY","Sedan/Wagon","1750","Front","Manual","5","Carb","48","61","47.40000","52.60000","49.60000"
"High","Car","1985","GM","SPRINT","Sedan/Wagon","1750","Front","Manual","5","Carb","48","61","47.40000","52.60000","49.60000"
"High","Car","1985","Suzuki","SA310","Sedan/Wagon","1750","Front","Manual","5","Carb","48","61","47.40000","52.60000","49.60000"
"High","Car","1986","GM","SPRINT ER","Sedan/Wagon","1750","Front","Manual","5","Carb","46","61","54.80000","59.20000","56.80000"
"High","Car","1987","GM","SPRINT ER","Sedan/Wagon","1750","Front","Manual","5","Carb","46","61","52.70000","57.40000","54.80000"
"High","Car","1988","GM","SPRINT METRO","Sedan/Wagon","1750","Front","Manual","5","Carb","46","61","52.20000","57.10000","54.40000"
"High","Car","1989","Honda","CIVIC CRX","Sedan/Wagon","2000","Front","Manual","5","Port","62","91","47.90000","53.80000","50.60000"
"High","Car","1990","GM","METRO XFI","Sedan/Wagon","1750","Front","Manual","5","TBI","49","61","50.70000","56.70000","53.40000"
"High","Car","1991","GM","METRO XFI","Sedan/Wagon","1750","Front","Manual","5","TBI","55","61","50.20000","56.30000","53.00000"
"High","Car","1992","GM","METRO XFi","Sedan/Wagon","1750","Front","Manual","5","TBI","55","61","49.60000","56.00000","52.60000"
"High","Car","1993","GM","METRO XFi","Sedan/Wagon","1750","Front","Manual","5","TBI","55","61","49.10000","55.60000","52.20000"
"High","Car","1994","GM","METRO XFi","Sedan/Wagon","1750","Front","Manual","5","TBI","55","61","49.30000","55.30000","52.20000"
"High","Car","1995","Honda","CIVIC HB VX","Sedan/Wagon","2250","Front","Manual","5","Port","91","91","42.40000","53.00000","47.30000"
"High","Car","1996","Suzuki","SWIFT","Sedan/Wagon","2000","Front","Manual","5","TBI","55","61","40.30000","46.40000","43.30000"
"High","Car","1997","GM","METRO","Sedan/Wagon","2000","Front","Manual","5","TBI","55","61","39.50000","46.10000","42.80000"
"High","Car","1998","GM","METRO","Sedan/Wagon","2000","Front","Manual","5","TBI","55","60","38.10000","46.10000","42.00000"
"High","Car","1999","VW","NEW BEETLE","Sedan/Wagon","3000","Front","Manual","5","Diesel","90","116","36.80000","45.40000","41.00000"
"High","Car","1999","VW","NEW GOLF","Sedan/Wagon","3000","Front","Manual","5","Diesel","90","116","36.80000","45.40000","41.00000"
"High","Car","1999","VW","NEW JETTA","Sedan/Wagon","3000","Front","Manual","5","Diesel","90","116","36.80000","45.40000","41.00000"
"High","Car","2000","Honda","INSIGHT","Sedan/Wagon","2000","Front","Manual","5","Port","67","61","51.80000","63.00000","57.40000"
"High","Car","2001","Honda","INSIGHT","Sedan/Wagon","2000","Front","Manual","5","Port","67","61","50.80000","61.80000","56.30000"
"High","Car","2002","Honda","INSIGHT","Sedan/Wagon","2000","Front","Manual","5","Port","67","61","50.20000","60.70000","55.60000"
"High","Car","2003","Honda","INSIGHT","Sedan/Wagon","2000","Front","Manual","5","Port","67","61","49.40000","60.30000","55.00000"
"High","Car","2004","Honda","INSIGHT","Sedan/Wagon","2000","Front","Manual","5","Port","67","61","48.60000","57.90000","53.50000"
"High","Car","2005","Honda","INSIGHT","Sedan/Wagon","2000","Front","Manual","5","Port","73","61","48.30000","57.70000","53.30000"
"High","Car","2006","Honda","INSIGHT","Sedan/Wagon","2000","Front","Manual","5","Port","73","61","47.90000","57.60000","53.00000"
"High","Car","2007","Toyota","PRIUS","Sedan/Wagon","3000","Front","CVT","1","Port","76","91","47.70000","45.10000","46.20000"
"High","Car","2008","Toyota","PRIUS","Sedan/Wagon","3000","Front","CVT","1","Port","76","91","47.70000","45.10000","46.20000"
"High","Car","2009","Toyota","PRIUS","Sedan/Wagon","3000","Front","CVT","1","Port","76","91","47.70000","45.10000","46.20000"
"High","Car","2010","Honda","FCX","Sedan/Wagon","4000","Front","Automatic with Lockup","1","FCV","130","-","59.40000","60.80000","60.20000"
"High","Car","2011","BMW","1 Series Active E","Sedan/Wagon","4000","Rear","Automatic","1","Electric","168","-","106.70000","96.40000","100.60000"
"High","Car","2012","Mitsubishi","i-MiEV","Sedan/Wagon","2750","Rear","Automatic with Lockup","1","Electric","66","-","126.40000","98.70000","109.00000"
"High","Car","2013","Toyota","iQ EV","Sedan/Wagon","2750","Front","CVT","1","Electric","63","-","138.30000","104.80000","117.00000"
"High","Car","2014","BMW","I3 BEV","Sedan/Wagon","3000","Rear","Automatic","1","Electric","168","-","137.50000","111.40000","121.30000"
"High","Car","2015","BMW","I3 BEV","Sedan/Wagon","3000","Rear","Automatic","1","Electric","168","-","137.50000","111.40000","121.30000"
"High","Car","2016","BMW","I3 BEV","Sedan/Wagon","3000","Rear","Automatic","1","Electric","170","-","137.50000","111.40000","121.30000"
"High","Car","2017","Hyundai","Ioniq Electric","Sedan/Wagon","3500","Front","Automatic","1","Electric","118","-","150.00000","122.00000","132.60000"
"High","Car","2018","Hyundai","Ioniq Electric","Sedan/Wagon","3500","Front","Automatic","1","Electric","118","-","150.00000","122.00000","132.60000"
"High","Car","2019","Hyundai","Ioniq Electric","Sedan/Wagon","3500","Front","Automatic","1","Electric","134","-","150.00000","122.00000","132.60000"
"High","Car","2020","Tesla","Model 3 Standard Range Plus","Sedan/Wagon","4000","Rear","Automatic","1","Electric","283","-","148.40000","132.00000","138.60000"
"High","Car","2021","Tesla","Model 3 Standard Range Plus RWD","Sedan/Wagon","4000","Rear","Automatic","1","Electric","256","-","149.00000","132.40000","139.10000"
"High","Car","Prelim. 2022","Lucid","Air G Touring AWD w/19 inch wheels","Sedan/Wagon","5500","4wd","Automatic","1","Electric","1,112","-","130.20000","132.30000","131.40000"
"High","Truck","1975","Nissan","PICKUP","Pickup","2750","Rear","Manual","-","Carb","107","119","18.30000","24.80000","20.80000"
"High","Truck","1976","Ford","COURIER PICKUP","Pickup","3000","Rear","Manual","-","Carb","65","109","21.10000","25.90000","23.00000"
"High","Truck","1977","Ford","COURIER CAB CHAS","Pickup","3000","Rear","Manual","-","Carb","67","110","25.00000","31.10000","27.40000"
"High","Truck","1977","Ford","COURIER PICKUP","Pickup","3000","Rear","Manual","-","Carb","67","110","25.00000","31.10000","27.40000"
"High","Truck","1977","Mazda","MAZDA B1800 PICK","Pickup","3000","Rear","Manual","-","Carb","67","110","25.00000","31.10000","27.40000"
"High","Truck","1978","Ford","COURIER CAB CHAS","Pickup","3000","Rear","Manual","-","Carb","67","110","26.30000","30.00000","27.80000"
"High","Truck","1978","Ford","COURIER PICKUP","Pickup","3000","Rear","Manual","-","Carb","67","110","26.30000","30.00000","27.80000"
"High","Truck","1978","Mazda","B1800 PICKUP","Pickup","3000","Rear","Manual","-","Carb","67","110","26.30000","30.00000","27.80000"
"High","Truck","1979","Ford","COURIER PICKUP","Pickup","3000","Rear","Manual","5","Carb","72","120","24.00000","28.70000","25.90000"
"High","Truck","1979","Mazda","B2000 PICKUP","Pickup","3000","Rear","Manual","5","Carb","72","120","24.00000","28.70000","25.90000"
"High","Truck","1980","VW","2WD","Pickup","2250","Front","Manual","5","Diesel","48","90","35.90000","41.60000","38.30000"
"High","Truck","1981","VW","P/U 2WD","Pickup","2250","Front","Manual","5","Diesel","52","97","33.40000","39.70000","36.00000"
"High","Truck","1982","VW","P/U 2WD","Pickup","2250","Front","Manual","4","Diesel","52","97","36.60000","37.40000","37.00000"
"High","Truck","1983","VW","P/U 2WD","Pickup","2250","Front","Manual","4","Diesel","52","97","37.80000","38.70000","38.20000"
"High","Truck","1984","GM","P'UP P/U 2WD","Pickup","2750","Rear","Manual","4","Diesel","62","137","34.60000","38.30000","36.10000"
"High","Truck","1985","GM","P'UP P/U 2WD","Pickup","2750","Rear","Manual","4","Diesel","62","137","34.60000","38.30000","36.10000"
"High","Truck","1986","GM","P'UP 2WD","Pickup","2750","Rear","Manual","4","Diesel","62","137","34.30000","38.10000","36.00000"
"High","Truck","1987","GM","P'UP 2WD","Pickup","3000","Rear","Manual","4","Diesel","60","137","34.00000","38.50000","36.00000"
